Study_ID,time_of_followup_from_loading,implant_length,group,n,mean_mbl,sd_mbl
esposito-5mm-augmented-3y5y,36,long,long_ungrafted_mandible,14,1.97,0.57
esposito-5mm-augmented-3y5y,0,short,short_ungrafted_maxilla,15,0.46,0.21
esposito-5mm-augmented-3y5y,12,short,short_ungrafted_maxilla,15,1.06,0.52
esposito-5mm-augmented-3y5y,36,short,short_ungrafted_maxilla,13,1.36,0.53
esposito-5mm-augmented-3y5y,0,long,long_ungrafted_maxilla,15,0.58,0.13
esposito-5mm-augmented-3y5y,12,long,long_ungrafted_maxilla,15,1.43,0.47
esposito-5mm-augmented-3y5y,36,long,long_ungrafted_maxilla,14,1.74,0.37
esposito-5mm-augmented-3y5y,0,short,short_ungrafted_mixed,30,0.55,0.23
esposito-5mm-augmented-3y5y,12,short,short_ungrafted_mixed,30,1.3,0.57
esposito-5mm-augmented-3y5y,36,short,short_ungrafted_mixed,26,1.57,0.55
esposito-5mm-augmented-3y5y,0,long,long_ungrafted_mixed,30,0.55,0.23
esposito-5mm-augmented-3y5y,12,long,long_ungrafted_mixed,30,1.3,0.57
esposito-5mm-augmented-3y5y,36,long,long_ungrafted_mixed,26,1.87,0.5
hadzik-wroclaw,36,long,long_ungrafted_maxilla,15,0.22,0.46
hadzik-wroclaw,36,short,short_ungrafted_maxilla,14,0.34,0.24
hadzik-wroclaw,84,long,long_ungrafted_maxilla,15,0.53,0.75
hadzik-wroclaw,84,short,short_ungrafted_maxilla,13,0.5,0.35
astra-6v11-fdp,12,short,short_ungrafted_mixed,86,-0.06,0.27
astra-6v11-fdp,12,long,long_ungrafted_mixed,92,-0.02,0.6
astra-6v11-fdp,60,short,short_ungrafted_mixed,94,0.01,0.45
astra-6v11-fdp,60,long,long_ungrafted_mixed,80,-0.12,0.93
thoma-6v11-SFE,0,short,short_ungrafted_maxilla,60,0.03,0.15
thoma-6v11-SFE,0,long,long_ungrafted_maxilla,58,0.06,0.2
thoma-6v11-SFE,36,short,short_ungrafted_maxilla,58,0.44,0.44
thoma-6v11-SFE,36,long,long_ungrafted_maxilla,63,0.45,0.55
thoma-6v11-SFE,60,short,short_ungrafted_maxilla,53,0.45,0.79
thoma-6v11-SFE,60,long,long_ungrafted_maxilla,62,0.45,0.91
romeo-storelli-6v10,12,short,short_ungrafted_mixed,24,0.18,0.32
romeo-storelli-6v10,12,long,long_ungrafted_mixed,28,0.04,0.24
romeo-storelli-6v10,60,short,short_ungrafted_mixed,21,0.43,0.34
romeo-storelli-6v10,60,long,long_ungrafted_mixed,19,0.24,0.45
gulje-maxilla-6v11,12,short,short_ungrafted_maxilla,21,0.1,0.2
gulje-maxilla-6v11,12,long,long_ungrafted_maxilla,19,0.1,0.3
gulje-maxilla-6v11,60,short,short_ungrafted_maxilla,18,0.12,0.36
gulje-maxilla-6v11,60,long,long_ungrafted_maxilla,17,0.14,0.63
gulje-maxilla-6v11,120,short,short_ungrafted_maxilla,17,0.18,0.36
gulje-maxilla-6v11,120,long,long_ungrafted_maxilla,10,0.26,0.63
1,0,short,short_ungrafted_mandible,20,0.45,0.04
1,0,long,long_grafted_mandible,18,0.46,0.05
1,0,short,short_ungrafted_maxilla,19,0.46,0.05
1,0,long,long_grafted_maxilla,19,0.58,0.05
1,12,short,short_ungrafted_mandible,20,0.94,0.05
1,12,long,long_grafted_mandible,18,1.03,0.07
1,12,short,short_ungrafted_maxilla,19,0.87,0.07
1,12,long,long_grafted_maxilla,19,1.15,0.12
1,36,short,short_ungrafted_mandible,18,1.1,0.05
1,36,long,long_grafted_mandible,18,1.39,0.07
1,36,short,short_ungrafted_maxilla,19,1.04,0.07
1,36,long,long_grafted_maxilla,18,1.43,0.12
1,60,short,short_ungrafted_mandible,16,1.22,0.05
1,60,long,long_grafted_mandible,14,1.7,0.07
1,60,short,short_ungrafted_maxilla,17,1.25,0.07
